index,question,k,threshold,doc_id,score,contenu
faiss_index_short,Une pièce de théâtre,5,0.4,64,0.3493,"TITRE: La France, Empire au Théatre de Belleville
DESCRIPTION: Cie Un Pas de Côté - Nicolas Lambert
CONDITIONS: Tarif plein 22 € / Tarif réduit 15 €
"
faiss_index_short,Une pièce de théâtre,5,0.4,50,0.3646,"TITRE: UNE MOUETTE | Anton Tchekhov                                                                      Mise en scène par Elsa Granat
DESCRIPTION: Accessibilité : surtitres français, surtitres anglais, surtitres adaptés, audiodescription et langue des signes française
CONDITIONS: Prix billet et lun"
faiss_index_short,Une pièce de théâtre,5,0.4,18,0.3959,"TITRE: Le Roi, la Reine et le Bouffon
DESCRIPTION: Cie La Grande T - Clémence Coullon
CONDITIONS: 
"
faiss_index_short,Une pièce de théâtre,5,0.4,42,0.3973,"TITRE: La décalcomanie
DESCRIPTION: ensemble théâtral estrarre / Julien Kosellek
CONDITIONS: Gratuit pour les experts DRAC sur réservation
"
faiss_index_short,Une pièce de théâtre,5,0.4,79,0.3997,"TITRE: Chroniques d'une Exploratrice
DESCRIPTION: Compagnie A point - GOZLAN Alice
CONDITIONS: Sur inscription
"
faiss_index_short,Une pièce de théâtre,3,0.4,64,0.3493,"TITRE: La France, Empire au Théatre de Belleville
DESCRIPTION: Cie Un Pas de Côté - Nicolas Lambert
CONDITIONS: Tarif plein 22 € / Tarif réduit 15 €
"
faiss_index_short,Une pièce de théâtre,3,0.4,50,0.3646,"TITRE: UNE MOUETTE | Anton Tchekhov                                                                      Mise en scène par Elsa Granat
DESCRIPTION: Accessibilité : surtitres français, surtitres anglais, surtitres adaptés, audiodescription et langue des signes française
CONDITIONS: Prix billet et lun"
faiss_index_short,Une pièce de théâtre,3,0.4,18,0.3959,"TITRE: Le Roi, la Reine et le Bouffon
DESCRIPTION: Cie La Grande T - Clémence Coullon
CONDITIONS: 
"
faiss_index_short,Une pièce de théâtre,5,0.6,64,0.3493,"TITRE: La France, Empire au Théatre de Belleville
DESCRIPTION: Cie Un Pas de Côté - Nicolas Lambert
CONDITIONS: Tarif plein 22 € / Tarif réduit 15 €
"
faiss_index_short,Une pièce de théâtre,5,0.6,50,0.3646,"TITRE: UNE MOUETTE | Anton Tchekhov                                                                      Mise en scène par Elsa Granat
DESCRIPTION: Accessibilité : surtitres français, surtitres anglais, surtitres adaptés, audiodescription et langue des signes française
CONDITIONS: Prix billet et lun"
faiss_index_short,Une pièce de théâtre,5,0.6,18,0.3959,"TITRE: Le Roi, la Reine et le Bouffon
DESCRIPTION: Cie La Grande T - Clémence Coullon
CONDITIONS: 
"
